ver,ang,,,,,,,,,,,,,,,,,,,,
alt,0,,,5,,,10,,,15,,,20,,,25,,,30,,
1.5,107,107,107,109,106,104,109,105,102,109,103,97,108,101,93,107,97,87,104,92,81
1.6,102,102,102,103,101,99,104,100,96,104,98,93,103,96,88,101,92,83,99,88,77
1.7,96,96,96,98,96,95,99,96,92,99,95,88,98,91,84,96,88,79,95,83,73
1.8,93,93,93,95,93,92,96,93,144,96,92,85,95,88,81,93,85,76,92,80,70
1.9,89,89,89,92,90,89,93,90,139,93,89,82,92,85,78,90,82,73,89,77,67
2,85,85,85,89,87,86,90,87,133,90,86,79,89,82,75,87,79,70,86,74,64
2.1,82,82,82,86,84,83,87,84,127,87,83,76,86,79,72,84,76,67,83,71,61
2.2,78,78,78,83,81,80,84,81,121,84,80,73,83,76,69,81,73,64,80,68,58
2.3,75,75,75,80,78,77,81,78,116,81,77,70,80,73,66,78,70,61,77,65,55
2.4,72,72,72,77,75,74,78,75,112,78,74,67,77,70,63,75,67,58,74,62,52
2.5,70,70,70,74,72,71,75,72,107,75,71,64,74,67,60,72,64,55,71,59,49
hor,ang,,,,,,,,,,,,,,,,,,,,
alt,0,,,5,,,10,,,15,,,20,,,25,,,30,,
1.5,81,81,81,83,80,78,84,79,75,84,78,71,84,76,67,83,73,63,81,69,57
1.6,76,76,76,78,76,74,79,75,70,80,74,68,79,72,64,78,69,60,77,66,54
1.7,72,72,72,75,72,70,75,72,67,75,70,65,75,68,61,75,66,57,74,63,51
1.8,69,69,69,71,69,67,72,68,64,72,67,62,72,65,58,72,63,54,71,60,48
1.9,66,66,66,68,66,64,69,65,61,69,63,59,69,63,55,69,60,51,68,57,45
2,63,63,63,65,63,61,66,62,58,66,61,56,66,60,52,66,57,48,65,54,42
2.1,60,60,60,62,60,58,63,60,56,63,58,54,63,57,49,63,54,45,62,51,39
2.2,58,58,58,60,57,56,60,57,54,60,56,52,60,54,46,60,51,42,59,48,36
2.3,56,56,56,57,55,54,58,55,51,58,54,50,57,51,43,57,48,39,56,45,33
2.4,54,54,54,55,54,51,56,53,49,56,52,48,54,48,40,54,45,36,53,42,30
2.5,52,52,52,53,51,50,54,51,48,54,50,46,51,45,37,51,42,33,50,39,21
aru,,L,T,X,,,,,,,,,,,,,,,,,
1,94249,110520,165614,238703,,,,,,,,,,,,,,,,,
1.1,81796,104405,155331,223959,,,,,,,,,,,,,,,,,
1.2,71289,98580,146053,210812,,,,,,,,,,,,,,,,,
1.3,63001,93410,138617,199295,,,,,,,,,,,,,,,,,
1.4,56169,88938,131509,187764,,,,,,,,,,,,,,,,,
1.5,50625,84672,125077,178649,,,,,,,,,,,,,,,,,
1.6,45369,80895,118727,170319,,,,,,,,,,,,,,,,,
1.7,41209,77324,113225,162765,,,,,,,,,,,,,,,,,
1.8,37249,74158,108969,154512,,,,,,,,,,,,,,,,,
1.9,34225,70979,104978,149043,,,,,,,,,,,,,,,,,
2,31329,68384,100421,142648,,,,,,,,,,,,,,,,,
2.1,28900,66120,96784,137682,,,,,,,,,,,,,,,,,
2.2,26569,63714,93140,131180,,,,,,,,,,,,,,,,,
2.3,24649,61574,89809,126344,,,,,,,,,,,,,,,,,
2.4,22801,59507,86835,123348,,,,,,,,,,,,,,,,,
2.5,21316,57465,83315,118294,,,,,,,,,,,,,,,,,
