abootimg	0.6-1build1
accountsservice	22.07.5-2ubuntu1.6
acl	2.3.1-1
acpid	1:2.0.33-1ubuntu1
acpi-support	0.144
adduser	3.118ubuntu5
adwaita-icon-theme	41.0-1ubuntu1
aisleriot	1:3.22.22-1
alsa-base	1.0.25+dfsg-0ubuntu7
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.6.3-1ubuntu1.12
alsa-utils	1.2.6-1ubuntu1
amd64-microcode	3.20191218.1ubuntu2.3
anacron	2.3-31ubuntu2
ant	1.10.12-1
apg	2.2.3.dfsg.1-5build2
apparmor	3.0.4-2ubuntu2.5
apport	2.20.11-0ubuntu82.10
apport-gtk	2.20.11-0ubuntu82.10
apport-symptoms	0.24
appstream	0.15.2-2
apt	2.4.14
apt-config-icons	0.15.2-2
apt-config-icons-hidpi	0.15.2-2
aptdaemon	1.1.1+bzr982-0ubuntu39
aptdaemon-data	1.1.1+bzr982-0ubuntu39
apt-transport-https	2.4.14
apturl	0.5.2ubuntu22
apturl-common	0.5.2ubuntu22
apt-utils	2.4.14
aspell	0.60.8-4build1
aspell-en	2018.04.16-0-1
astyle	3.1-2build1
at-spi2-core	2.44.0-3
autoconf	2.71-2
automake	1:1.16.5-1.3
autotools-dev	20220109.1
avahi-autoipd	0.8-5ubuntu5.5
avahi-daemon	0.8-5ubuntu5.5
avahi-utils	0.8-5ubuntu5.5
balena-etcher-electron	1.7.9
baobab	41.0-2
base-files	12ubuntu4.7
base-passwd	3.5.52build1
bash	5.1-6ubuntu1.1
bash-completion	1:2.11-5ubuntu1
bc	1.07.1-3build1
bind9-dnsutils	1:9.18.39-0ubuntu0.22.04.5
bind9-host	1:9.18.39-0ubuntu0.22.04.5
bind9-libs:amd64	1:9.18.39-0ubuntu0.22.04.5
binfmt-support	2.2.1-2
binutils	2.38-4ubuntu2.12
binutils-aarch64-linux-gnu	2.38-4ubuntu2.12
binutils-arm-none-eabi	2.38-3ubuntu1+15build1
binutils-common:amd64	2.38-4ubuntu2.12
binutils-dev	2.38-4ubuntu2.12
binutils-x86-64-linux-gnu	2.38-4ubuntu2.12
bison	2:3.8.2+dfsg-1build1
blt	2.5.3+dfsg-4.1build2
bluez	5.64-0ubuntu1.4
bluez-cups	5.64-0ubuntu1.4
bluez-obexd	5.64-0ubuntu1.4
bolt	0.9.2-1
branding-ubuntu	0.10
brltty	6.4-4ubuntu3
brz	3.2.1+bzr7585-1build1
bsdextrautils	2.37.2-4ubuntu3.5
bsdutils	1:2.37.2-4ubuntu3.5
bubblewrap	0.6.1-1ubuntu0.1
build-essential	12.9ubuntu3
busybox-initramfs	1:1.30.1-7ubuntu3.1
busybox-static	1:1.30.1-7ubuntu3.1
bzip2	1.0.8-5build1
bzr	2.7.0+bzr6622+brz
ca-certificates	20260601~22.04.1
ca-certificates-java	20190909ubuntu1.3
catch2	2.13.8-1
ccache	4.5.1-1
cheese	41.1-1build1
cheese-common	41.1-1build1
chromium-codecs-ffmpeg-extra	1:85.0.4183.83-0ubuntu2.22.04.1
clang	1:14.0-55~exp2
clang-14	1:14.0.0-1ubuntu1.1
clang-format-14	1:14.0.0-1ubuntu1.1
clang-format:amd64	1:14.0-55~exp2
clang-tidy	1:14.0-55~exp2
clang-tidy-14	1:14.0.0-1ubuntu1.1
clang-tools-14	1:14.0.0-1ubuntu1.1
cmake	3.22.1-1ubuntu1.22.04.2
cmake-data	3.22.1-1ubuntu1.22.04.2
code	1.123.0-1780481570
colord	1.4.6-1
colord-data	1.4.6-1
comerr-dev:amd64	2.1-1.46.5-2ubuntu1.2
command-not-found	22.04.0
console-setup	1.205ubuntu3
console-setup-linux	1.205ubuntu3
coreutils	8.32-4.1ubuntu1.3
cpio	2.13+dfsg-7ubuntu0.1
cpp-11	11.4.0-1ubuntu1~22.04.3
cpp-11-aarch64-linux-gnu	11.4.0-1ubuntu1~22.04.3cross1
cpp	4:11.2.0-1ubuntu1
cpp-aarch64-linux-gnu	4:11.2.0-1ubuntu1
cppcheck	2.7-1
cracklib-runtime	2.9.6-3.4build4
cron	3.0pl1-137ubuntu3
cuda-cccl-12-6	12.6.37-1
cuda-cccl-cross-aarch64-12-6	12.6.37-1
cuda-command-line-tools-12-6	12.6.11-1
cuda-compiler-12-6	12.6.11-1
cuda-cross-aarch64-12-6	12.6.11-1
cuda-crt-12-6	12.6.68-1
cuda-crt-cross-aarch64-12-6	12.6.68-1
cuda-cudart-12-6	12.6.68-1
cuda-cudart-cross-aarch64-12-6	12.6.68-1
cuda-cudart-dev-12-6	12.6.68-1
cuda-cuobjdump-12-6	12.6.68-1
cuda-cupti-12-6	12.6.68-1
cuda-cupti-cross-aarch64-12-6	12.6.68-1
cuda-cupti-dev-12-6	12.6.68-1
cuda-cuxxfilt-12-6	12.6.68-1
cuda-documentation-12-6	12.6.68-1
cuda-driver-cross-aarch64-12-6	12.6.68-1
cuda-driver-dev-12-6	12.6.68-1
cuda-gdb-12-6	12.6.68-1
cuda-libraries-12-6	12.6.11-1
cuda-libraries-dev-12-6	12.6.11-1
cuda-nsight-12-6	12.6.68-1
cuda-nsight-compute-12-6	12.6.11-1
cuda-nsight-compute-addon-l4t-12-6	12.6.11-1
cuda-nsight-systems-12-6	12.6.11-1
cuda-nvcc-12-6	12.6.68-1
cuda-nvcc-cross-aarch64-12-6	12.6.68-1
cuda-nvdisasm-12-6	12.6.68-1
cuda-nvml-cross-aarch64-12-6	12.6.68-1
cuda-nvml-dev-12-6	12.6.68-1
cuda-nvprof-12-6	12.6.68-1
cuda-nvprune-12-6	12.6.68-1
cuda-nvrtc-12-6	12.6.68-1
cuda-nvrtc-cross-aarch64-12-6	12.6.68-1
cuda-nvrtc-dev-12-6	12.6.68-1
cuda-nvtx-12-6	12.6.68-1
cuda-nvtx-cross-aarch64-12-6	12.6.68-1
cuda-nvvm-12-6	12.6.68-1
cuda-nvvp-12-6	12.6.68-1
cuda-opencl-12-6	12.6.68-1
cuda-opencl-dev-12-6	12.6.68-1
cuda-profiler-api-12-6	12.6.68-1
cuda-profiler-api-cross-aarch64-12-6	12.6.68-1
cuda-sanitizer-12-6	12.6.68-1
cuda-toolkit-12-6	12.6.11-1
cuda-toolkit-12-6-config-common	12.6.68-1
cuda-toolkit-12-config-common	12.6.68-1
cuda-toolkit-config-common	12.6.68-1
cuda-tools-12-6	12.6.11-1
cuda-visual-tools-12-6	12.6.11-1
cups	2.4.1op1-1ubuntu4.21
cups-browsed	1.28.15-0ubuntu1.5
cups-bsd	2.4.1op1-1ubuntu4.21
cups-client	2.4.1op1-1ubuntu4.21
cups-common	2.4.1op1-1ubuntu4.21
cups-core-drivers	2.4.1op1-1ubuntu4.21
cups-daemon	2.4.1op1-1ubuntu4.21
cups-filters	1.28.15-0ubuntu1.5
cups-filters-core-drivers	1.28.15-0ubuntu1.5
cups-ipp-utils	2.4.1op1-1ubuntu4.21
cups-pk-helper	0.2.6-1ubuntu5
cups-ppdc	2.4.1op1-1ubuntu4.21
cups-server-common	2.4.1op1-1ubuntu4.21
curl	7.81.0-1ubuntu1.26
dash	0.5.11+git20210903+057cd650a4ed-3build1
dbus	1.12.20-2ubuntu4.1
dbus-user-session	1.12.20-2ubuntu4.1
dc	1.07.1-3build1
dconf-cli	0.40.0-3ubuntu0.1
dconf-gsettings-backend:amd64	0.40.0-3ubuntu0.1
dconf-service	0.40.0-3ubuntu0.1
debconf	1.5.79ubuntu1
debconf-i18n	1.5.79ubuntu1
debianutils	5.5-1ubuntu2
default-jdk	2:1.11-72build2
default-jdk-headless	2:1.11-72build2
default-jre	2:1.11-72build2
default-jre-headless	2:1.11-72build2
default-libmysqlclient-dev:amd64	1.0.8
deja-dup	42.9-1ubuntu3
desktop-file-utils	0.26-1ubuntu3
device-tree-compiler	1.6.1-1
dh-elpa-helper	2.0.9ubuntu1
dictionaries-common	1.28.14
diffutils	1:3.8-0ubuntu2
dirmngr	2.2.27-3ubuntu2.5
distro-info	1.1ubuntu0.2
distro-info-data	0.72-0ubuntu0.22.04.1
dmidecode	3.3-3ubuntu0.2
dmsetup	2:1.02.175-2.1ubuntu5
dmz-cursor-theme	0.4.5ubuntu1
dnsmasq-base	2.90-0ubuntu0.22.04.4
dns-root-data	2024071801~ubuntu0.22.04.1
docbook-xml	4.5-11
docutils-common	0.17.1+dfsg-2
dosfstools	4.2-1build3
dpkg	1.21.1ubuntu2.6
dpkg-dev	1.21.1ubuntu2.6
