gz-harmonic	1.0.0-1~jammy
gz-sim8-cli	8.12.0-1~jammy
libgz-common5:amd64	5.8.0-1~jammy
libgz-common5-av:amd64	5.8.0-1~jammy
libgz-common5-av-dev:amd64	5.8.0-1~jammy
libgz-common5-core-dev:amd64	5.8.0-1~jammy
libgz-common5-dev:amd64	5.8.0-1~jammy
libgz-common5-events:amd64	5.8.0-1~jammy
libgz-common5-events-dev:amd64	5.8.0-1~jammy
libgz-common5-geospatial:amd64	5.8.0-1~jammy
libgz-common5-geospatial-dev:amd64	5.8.0-1~jammy
libgz-common5-graphics:amd64	5.8.0-1~jammy
libgz-common5-graphics-dev:amd64	5.8.0-1~jammy
libgz-common5-io:amd64	5.8.0-1~jammy
libgz-common5-io-dev:amd64	5.8.0-1~jammy
libgz-common5-profiler:amd64	5.8.0-1~jammy
libgz-common5-profiler-dev:amd64	5.8.0-1~jammy
libgz-common5-testing:amd64	5.8.0-1~jammy
libgz-common5-testing-dev:amd64	5.8.0-1~jammy
libgz-fuel-tools9:amd64	9.1.1-1~jammy
libgz-fuel-tools9-dev:amd64	9.1.1-1~jammy
libgz-gui8:amd64	8.4.0-1~jammy
libgz-gui8-dev:amd64	8.4.0-1~jammy
libgz-launch7:amd64	7.1.1-1~jammy
libgz-launch7-dev:amd64	7.1.1-1~jammy
libgz-math7:amd64	7.6.0-1~jammy
libgz-math7-dev:amd64	7.6.0-1~jammy
libgz-math7-eigen3-dev:amd64	7.6.0-1~jammy
libgz-msgs10:amd64	10.3.2-1~jammy
libgz-msgs10-dev:amd64	10.3.2-1~jammy
libgz-physics7:amd64	7.8.0-1~jammy
libgz-physics7-bullet:amd64	7.8.0-1~jammy
libgz-physics7-bullet-dev:amd64	7.8.0-1~jammy
libgz-physics7-core-dev:amd64	7.8.0-1~jammy
libgz-physics7-dartsim:amd64	7.8.0-1~jammy
libgz-physics7-dartsim-dev:amd64	7.8.0-1~jammy
libgz-physics7-dev:amd64	7.8.0-1~jammy
libgz-physics7-heightmap-dev:amd64	7.8.0-1~jammy
libgz-physics7-mesh-dev:amd64	7.8.0-1~jammy
libgz-physics7-sdf-dev:amd64	7.8.0-1~jammy
libgz-physics7-tpe:amd64	7.8.0-1~jammy
libgz-physics7-tpe-dev:amd64	7.8.0-1~jammy
libgz-physics7-tpelib:amd64	7.8.0-1~jammy
libgz-physics7-tpelib-dev:amd64	7.8.0-1~jammy
libgz-plugin2:amd64	2.0.4-1~jammy
libgz-plugin2-dev:amd64	2.0.4-1~jammy
libgz-rendering8:amd64	8.2.3-1~jammy
libgz-rendering8-core-dev:amd64	8.2.3-1~jammy
libgz-rendering8-dev:amd64	8.2.3-1~jammy
libgz-rendering8-ogre1:amd64	8.2.3-1~jammy
libgz-rendering8-ogre1-dev:amd64	8.2.3-1~jammy
libgz-rendering8-ogre2:amd64	8.2.3-1~jammy
libgz-rendering8-ogre2-dev:amd64	8.2.3-1~jammy
libgz-sensors8-air-pressure:amd64	8.2.2-1~jammy
libgz-sensors8-air-pressure-dev:amd64	8.2.2-1~jammy
libgz-sensors8-air-speed:amd64	8.2.2-1~jammy
libgz-sensors8-air-speed-dev:amd64	8.2.2-1~jammy
libgz-sensors8-altimeter:amd64	8.2.2-1~jammy
libgz-sensors8-altimeter-dev:amd64	8.2.2-1~jammy
libgz-sensors8:amd64	8.2.2-1~jammy
libgz-sensors8-boundingbox-camera:amd64	8.2.2-1~jammy
libgz-sensors8-boundingbox-camera-dev:amd64	8.2.2-1~jammy
libgz-sensors8-camera:amd64	8.2.2-1~jammy
libgz-sensors8-camera-dev:amd64	8.2.2-1~jammy
libgz-sensors8-core-dev:amd64	8.2.2-1~jammy
libgz-sensors8-depth-camera:amd64	8.2.2-1~jammy
libgz-sensors8-depth-camera-dev:amd64	8.2.2-1~jammy
libgz-sensors8-dev:amd64	8.2.2-1~jammy
libgz-sensors8-dvl:amd64	8.2.2-1~jammy
libgz-sensors8-dvl-dev:amd64	8.2.2-1~jammy
libgz-sensors8-force-torque:amd64	8.2.2-1~jammy
libgz-sensors8-force-torque-dev:amd64	8.2.2-1~jammy
libgz-sensors8-gpu-lidar:amd64	8.2.2-1~jammy
libgz-sensors8-gpu-lidar-dev:amd64	8.2.2-1~jammy
libgz-sensors8-imu:amd64	8.2.2-1~jammy
libgz-sensors8-imu-dev:amd64	8.2.2-1~jammy
libgz-sensors8-lidar:amd64	8.2.2-1~jammy
libgz-sensors8-lidar-dev:amd64	8.2.2-1~jammy
libgz-sensors8-logical-camera:amd64	8.2.2-1~jammy
libgz-sensors8-logical-camera-dev:amd64	8.2.2-1~jammy
libgz-sensors8-magnetometer:amd64	8.2.2-1~jammy
libgz-sensors8-magnetometer-dev:amd64	8.2.2-1~jammy
libgz-sensors8-navsat:amd64	8.2.2-1~jammy
libgz-sensors8-navsat-dev:amd64	8.2.2-1~jammy
libgz-sensors8-rendering:amd64	8.2.2-1~jammy
libgz-sensors8-rendering-dev:amd64	8.2.2-1~jammy
libgz-sensors8-rgbd-camera:amd64	8.2.2-1~jammy
libgz-sensors8-rgbd-camera-dev:amd64	8.2.2-1~jammy
libgz-sensors8-segmentation-camera:amd64	8.2.2-1~jammy
libgz-sensors8-segmentation-camera-dev:amd64	8.2.2-1~jammy
libgz-sensors8-thermal-camera:amd64	8.2.2-1~jammy
libgz-sensors8-thermal-camera-dev:amd64	8.2.2-1~jammy
libgz-sensors8-wide-angle-camera:amd64	8.2.2-1~jammy
libgz-sensors8-wide-angle-camera-dev:amd64	8.2.2-1~jammy
libgz-sim8:amd64	8.12.0-1~jammy
libgz-sim8-dev:amd64	8.12.0-1~jammy
libgz-sim8-plugins:amd64	8.12.0-1~jammy
libgz-transport13:amd64	13.5.0-1~jammy
libgz-transport13-core-dev:amd64	13.5.0-1~jammy
libgz-transport13-dev:amd64	13.5.0-1~jammy
libgz-transport13-log:amd64	13.5.0-1~jammy
libgz-transport13-log-dev:amd64	13.5.0-1~jammy
libgz-transport13-parameters:amd64	13.5.0-1~jammy
libgz-transport13-parameters-dev:amd64	13.5.0-1~jammy
libgz-utils2:amd64	2.2.1-1~jammy
libgz-utils2-cli-dev:amd64	2.2.1-1~jammy
libgz-utils2-dev:amd64	2.2.1-1~jammy
python3-gz-math7	7.6.0-1~jammy
python3-gz-msgs10	10.3.2-1~jammy
python3-gz-sim8	8.12.0-1~jammy
python3-gz-transport13	13.5.0-1~jammy
ros-humble-ros-gz-bridge	0.244.24-1jammy.20260422.064121
ros-humble-ros-gz-image	0.244.24-1jammy.20260422.073210
ros-humble-ros-gz-interfaces	0.244.24-1jammy.20260414.035014
